,Platform,Total Global Sales,Best Year,Most Releases in Year
0,3DO,0.1,1995.0,2
1,3DS,246.27,2011.0,116
2,Atari 2600,86.57,1981.0,46
3,DC,15.97,2000.0,20
4,DS,818.91,2008.0,492
5,GB,254.42000000000002,2000.0,17
6,GBA,305.62,2002.0,198
7,GC,197.14,2002.0,152
8,GEN,28.36,1994.0,12
9,GG,0.04,1992.0,1
10,N64,218.21,1999.0,102
11,NES,251.07,1986.0,19
12,NG,1.44,1994.0,4
13,PC,254.7,2011.0,137
14,PCFX,0.03,1996.0,1
15,PS,727.39,1998.0,248
16,PS2,1233.46,2002.0,280
17,PS3,949.35,2011.0,216
18,PS4,278.1,2015.0,137
19,PSP,291.71,2006.0,190
20,PSV,61.6,2015.0,113
21,SAT,33.59,1995.0,52
22,SCD,1.87,1994.0,5
23,SNES,200.05,1995.0,54
24,TG16,0.16,1995.0,2
25,WS,1.42,1999.0,2
26,Wii,909.81,2009.0,325
27,WiiU,81.86,2013.0,42
28,X360,969.6,2011.0,206
29,XB,252.09,2003.0,189
30,XOne,141.06,2015.0,79
